pacrat;pacreu;lbrat;lbreu;interception;controlerate;passedecisive;aeriengagne;aerienperdue;tir_en_dehord_de_surface;tir_six_metre;tir_surface_reparation;potentiel
1.4;7.1;0.6;0.6;0.4;0.1;0;0.3;0.3;0.2;0;0;6.17
1.3;9;0.3;0.3;0;0;0;0.1;0.1;0.1;0.1;0.1;6.21
0.3;8.3;1;0.3;0.4;0.1;0.3;0.3;0;0.2;0;0;6.17
1.3;12.1;0;0.1;0.4;0.1;0;0.6;0;0.1;0;0;6.27
0.8;12.1;0.1;0.6;0.1;0.3;0.1;0.1;0.1;0.2;0;0.1;6.24
1.4;7.9;0.6;0.2;0.5;0.1;0;0.5;0.4;0;0;0.1;6.23
1.8;3.3;1;0.3;0.1;0.1;0;0;0;0;0;0;5.89
1.3;4.4;0.4;0.3;0.2;0.3;0;0.4;0.1;0.1;0;0;6.15
0.7;6.5;0.3;0.5;0.2;0.3;0;0;0;0;0;0;6.22
1.6;7;0.2;0.3;0.4;0.1;0;0.2;0.2;0;0;0;6.07
1.6;5.5;0.5;0.3;0.1;0.2;0;0.1;0.4;0.1;0;0;6.15
1;3.3;1;0.3;0.1;0.1;0;0.2;0.2;0;0;0;6.03
0.8;3.2;0.8;0.6;0.3;0.5;0;0.2;0.3;0.1;0;0;6.08
1.1;5.1;0.2;0.4;0.2;0.2;0.1;0.1;0.1;0;0;0;6.19
1.1;4.3;0.9;0.5;0.3;0.2;0;0.4;0.3;0.2;0;0.2;6.18
1.4;2.8;0.3;0.4;0.4;0.1;0;0.2;0.1;0;0;0;6.2
1.3;4.3;0.4;0.3;0.2;0.3;0;0.4;0.1;0.1;0;0;6.14
1.3;5.8;0.3;0.3;0.3;0.3;0;0.6;0.3;0;0;0.1;6.14
1.4;5.3;0.7;0.2;0.4;0.5;0;0;0.4;0;0;0;6.13
1.7;5.2;0.5;0.8;0.6;0.1;0;0.5;0.3;0.1;0;0;6.14
1.3;7.2;0.1;0.4;0.4;0.4;0;0.4;0.3;0.1;0;0;6.23
1.3;6.5;0.5;0.1;0.4;0;0;0.4;0.1;0;0;0;6.09
1.7;3.9;0.5;0.1;0.2;0.1;0;0.3;0.1;0;0;0.2;6.19
1.9;7.3;1;0.7;0.4;0.1;0.1;0.2;0.1;0.2;0;0;6.23
1.4;8.2;0.4;0.7;0.2;0.6;0.1;0;0.2;0.1;0;0;6.21
1.7;8.2;0.6;0.8;0.1;0.1;0.1;0.1;0.1;0.1;0;0;6.21
1.9;4.9;0.7;0.7;0.2;0.2;0;0.1;0.2;0.1;0;0.1;6.19
0.8;5.8;0.7;0.4;0.2;0.1;0;0;0.1;0.1;0;0;6.1
1.3;6.5;1;0.7;0.3;0.3;0.1;0;0.6;0.2;0;0.1;6.37
1.7;7.4;0.5;0.6;0;0;0;0.2;0.1;0;0;0.1;6.15
0.6;4.2;0.2;0.2;0.2;0.4;0;0;0;0.2;0;0;6.22
0.2;0.2;11.5;1.1;0.1;0;0;0;0;0;0;0;6.12
0.5;0;12;2.5;0.5;0.1;0;0.2;0.3;0;0;0;6.05
0.3;0.2;9.2;1;0.3;0;0.1;0;0;0;0;0;6.14
0;0.5;16;1;1;0.3;0;0.3;0.1;0.5;0;0;6.35
0.2;0.4;11.4;1.3;0.1;0.5;0;1.5;0;0;0;0;6.19
0.5;0;16;1.5;0;0.3;0;0.4;0.1;0;0.5;0;6.31
0.2;0.3;9.5;1.2;0.2;0;0;0.5;0;0;0;0;6.08
0.5;1;12;2;0.5;0.1;0;0.1;0.2;0;0;0;6.42
0.2;0.3;8.8;1;0.2;0;0;0.7;0;0;0;0;6.13
0;0.3;9.3;0.3;0;0.1;0;0.3;0.3;0;0;0;6.17
0.1;0.5;8.8;1.1;0.2;0;0;0;0;0;0;0.1;6.33
0;0;5.3;0.3;0.3;0;0;0.4;0.2;0;0;0;6.08
0.9;5.8;1.1;0.9;0.4;0.1;0;0;0.1;0;0;0.1;6.16
1;5.3;1.3;0.3;0;0;0;0;0;0;0;0;6.09
0.2;5;0.2;0.4;0.2;0;0.2;0;0.4;0;0;0;6.18
0.9;5.1;0.7;0.7;0.3;0.2;0;0.1;0;0;0;0;6.08
0;5.3;0;0;0;0;0;0.3;0;0;0;0;6.06
0.4;3;0.8;0.6;0.2;0;0;0.2;0;0;0;0;6.15
1;5.9;0.5;0.9;0.5;0.1;0;0.2;0.1;0.1;0;0;6.23
0.7;5.7;0.3;0.3;0;0;0;0.3;0;0;0;0;6.16
0.6;4.4;0;0.4;0;0;0;0;0.4;0;0;0;6.08
1.3;5.2;0.5;0.7;0.2;0.1;0;0.2;0;0;0;0;6.13
0.5;4.8;0.3;0.3;0.5;0;0;0;0.3;0;0;0;6
0.8;5.4;0.2;0.4;0.2;0;0;0;0;0;0;0;6.04
1;5.1;0.5;0.4;0.2;0.1;0;0.1;0.1;0;0;0;6.14
1;7.3;0.8;0.8;0.3;0.3;0;0;0;0;0;0;6.04
1;6;0.6;0.4;0.4;0;0;0;0;0.2;0;0;6.1
1.3;5.1;1.2;0.6;0.3;0;0.1;0.1;0.1;0;0;0;6.26
1.3;7;1.3;0;0;0.3;0.3;0;0.5;0;0;0;6.23
1.5;6.3;0.2;0.2;0.2;0.1;0.1;0.2;0.3;0.1;0;0.1;6.1
0.9;5.9;0.1;0.2;0.2;0.4;0;0.2;0.1;0.1;0.1;0.2;6.11
1.1;5.9;0.2;0.3;0.2;0.2;0.1;0.3;0.2;0;0;0;6.01
0.6;5.7;0.1;0.2;0.1;0.1;0;0.2;0.2;0;0;0.1;6.11
1.1;5.4;0;0.3;0.2;0.2;0.1;0.1;0.3;0.1;0;0.2;6.16
0.9;7.3;0.3;0.3;0.3;0.1;0.1;0.2;0.3;0.1;0;0.1;6.31
0;14;0;0;0;0;0;0;0;0;0;0;6.21
0.8;12;0.3;0;0.3;0;0;0.3;0;0;0;0;6.18
1.2;10.9;0.1;0.4;0.3;0.3;0;0.2;0.2;0;0;0;6.11
3;11;0;2;0;0;0;0;1;0;0;0;6.04
0.3;8.8;0;0;0;0;0;0.3;0.3;0.3;0;0.3;6.19
1;10.5;0.1;0.4;0.3;0.2;0.1;0.3;0.4;0;0;0.1;6.17
1;12;1;0;1;0;0;0;1;0;0;0;6.08
1.8;12;0.3;0;0;0;0;0;0;0;0;0;6.12
0.6;8.7;0.2;0;0.4;0.1;0;0.2;0.1;0;0;0.1;6.07
1;13;0;0;0;0;0;0;0;0;0;0;5.11
0.8;10.3;0;0;0;0.3;0;0;0;0;0;0;6.07
0.6;9.8;0.3;0.3;0.4;0.1;0.1;0.1;0.3;0;0;0.1;6.22
1;13;0;1;0;0;0;0;0;0;0;1;6
1.8;8.3;0;0.3;0.2;0.1;0.1;0.2;0.1;0;0;0;6.23
0.7;9.6;0.2;0.1;0;0;0;0;0;0;0;0;6.11
1;10.3;0.5;0;0.4;0.2;0.1;0.3;0.2;0.1;0;0.1;6.39
2.7;6;0.3;0.7;0;0;0;0.7;0;0;0;0;6.15
1;6.5;0.4;0.3;0.3;0.3;0;0.3;0.3;0;0;0;6.14
0.8;7;0.3;0;0;0.3;0;0.3;0.3;0;0;0;5.99
0.7;5;0;0;0;0;0;0;0;0;0;0;6.15
1.1;6.7;0.2;0;0.3;0.3;0.1;0.3;0.4;0;0;0.1;6.24
1.8;3.8;0;0;0.3;0.3;0;0;0.8;0.3;0;0;6.19
0.3;4.3;0;0;0;0;0;0;0;0.1;0;0;6.14
1.1;5;0.1;0.1;0.1;0.2;0;0.8;0.5;0;0;0;6.13
1.3;6;0.3;0;0;0;0;0.3;0.3;0;0;0;6.12
0.1;5.7;0.3;0;0;0.7;0;0;0;0;0;0;6
1;4.8;0.6;0.1;0.3;0.1;0;0.2;0.4;0;0;0.3;6.19
0.8;8;1.8;0;0.5;0.3;0;0.8;0.5;0;0;0;6.02
0.7;4.3;0;0;0;0;0;0;0;0;0;0;6.13
0.5;4.1;0.1;0.1;0.3;0;0;0.3;0.1;0;0;0;6.12
0.5;4.3;0.3;0.3;0.3;0;0;0.5;0.5;0;0;0;6.14
0.7;4;0.3;0.3;0;0;0;0;0;0;0;0;6.29
0.7;4.9;0.1;0.2;0.5;0.1;0;0.2;0.2;0;0;0.1;6.32
1.7;4;0.7;0;0;0;0;0;0;0.3;0;0;6.18
2;2;0;0;1;0;0;0;0;0;0;0;6.13
1.3;4.8;0.5;0.4;0.2;0.3;0;0.3;0.2;0;0;0.1;6.12
1.3;3.7;0.7;0.3;0.3;0;0;0.7;0.3;0;0;0;6.22
1;5;0;0;0;2;0;0;0;0;0;0;6.28
0.8;4.3;0.6;0.1;0.1;0.1;0;0;0.3;0;0;0;6.13
1;4.3;0.7;0.7;0.7;0.3;0;0.3;0.3;0;0;0;6.35
1;9;0;0;0;0;0;0;0;0;0;0;6.11
0.7;5.2;0.2;0.4;0.2;0.1;0;0.2;0.1;0.2;0;0;6.11
1.3;1;1;0;0;1;0;0;0;0;0;0;6.1
0;3;1;0;2;0;0;0;0;0;0;1;6.49
1;4.5;0.5;0.2;0.1;0.1;0;0.1;0.1;0.1;0;0;6.17
0.7;4.7;0.3;0;0;0;0;0.3;0;0;0;0;6.16
3;7;0;0;0;1;0;0;0;0;0;0;6.14
0.4;3.5;0.2;0;0.2;0.3;0;0.1;0.1;0.1;0;0;6.04
0.7;3;0.3;0;0.3;0;0;0.3;0;0;0;0;6.15
1;0;0;0;0;0;0;0;0;0;0;0;6.23
0.7;4.8;0.5;0.2;0.3;0.2;0;0.4;0.2;0.1;0;0.1;6.31
1;8.9;0.5;0.3;0.1;0.2;0;0.1;0;0;0;0;6.11
0;9.3;0.5;0.8;0.3;0.8;0;0;0.5;0;0;0;6.11
0.8;9.6;0.5;0.4;0.4;0.2;0.1;0.1;0.1;0;0;0.1;6.22
0.8;8.5;0.8;0.8;0;0;0;0;0.3;0;0;0;6.03
0.8;7.1;0.8;0.4;0.2;0.3;0;0.2;0.3;0.1;0;0;6.16
0.3;4.8;1;0.3;0;0;0;0.8;0.3;0;0;0;6.14
0.9;5.8;0.7;0.4;0.2;0.2;0;0.1;0.1;0.1;0;0.1;6.14
1.3;4.8;0.3;0;0.3;0;0;0.5;0.3;0;0;0;5.99
1.1;5.6;0.4;0.2;0.2;0.1;0;0.2;0.2;0.1;0;0.1;6.15
0.3;8.3;0;0.5;0;0.3;0;0;0.3;0;0;0;6.17
1.1;6.6;0.6;0.2;0.4;0.1;0;0.1;0.3;0;0;0.1;6.23
0.8;7.5;1.3;0;0;0;0;0;0;0;0;0;6.25
1.4;7.9;0.5;0.5;0.3;0.1;0;0.2;0.3;0;0;0.1;6.1
1.8;4.8;0;0.3;0;0.5;0;0.2;0;0;0;0.3;5.94
1.3;6.2;0.6;0.5;0.2;0.2;0;0.3;0.4;0;0;0.1;6.1
0.8;5.3;0.3;1;0.5;0.3;0;0;0;0;0;0;6.06
1.2;6.5;0.6;0.4;0.1;0.1;0.2;0.3;0.4;0;0;0.1;6.26
1.8;7.3;0.3;0;0.3;0.5;0;0;0.3;0;0;0;6.19
1.2;6.4;0.3;0.4;0.2;0.2;0;0.2;0.2;0;0.1;0.1;6.11
2;9;0.5;0.5;0.3;0;0;0.3;0;0;0;0;6.21
0.9;6.8;0.3;0.5;0.2;0.2;0;0.1;0.2;0;0.1;0;6.09
0.5;6;0.3;0.5;0;0;0;0.3;0.3;0;0;0;6.07
0.8;7.5;0.3;0.7;0.2;0.2;0;0.2;0.4;0;0;0.1;6.3
1.3;5.8;1;1;0.5;0.3;0;0.8;0.5;0.3;0;0;6.14
0;4;0;0;0.7;0;0;0;0;0;0;0;6.2
0.4;9.9;0.3;0.4;0.1;0.3;0;0.1;0.4;0;0;0;6.19
0.7;6;0.3;0;0.7;0;0;0.3;0;0;0;0;6.18
1.1;7.5;0.6;0.1;0.4;0.4;0.1;0.1;0.1;0;0;0;6.28
1;6;0.3;0.3;0;0;0;0.3;0.7;0;0;0;6.2
0.5;8.5;0.3;0.1;0.1;0.3;0;0.4;0.4;0;0;0;6.14
0.7;6.3;0.3;0;0.3;0.3;0;0.3;0;0;0;0;6.05
0.6;6.5;0.4;0.3;0.5;0.1;0;0;0.1;0;0;0.1;6.17
0;6;0.7;0;0.7;0;0.3;0.3;0.3;0;0;0;6.28
0.8;5.5;0.4;0.4;0.1;0.1;0;0;0.5;0.1;0;0;6.07
0;3.7;0.3;0.3;0;0;0;0;0;0;0;0;6.26
0.4;4.8;0.4;0.3;0.3;0.1;0;0.2;0.2;0;0;0.1;6.15
1;6.9;1.1;1.1;0.3;0.1;0;0.6;0.3;0;0;0.2;6.19
1.3;2.7;0.3;0.7;0.3;0;0;0;0;0;0;0;6.11
2;12.4;0.4;1.6;0.6;0.2;0;0.2;0;0.1;0;0;6.13
1.2;5.4;0.5;0.3;0.2;0;0;0.5;0.2;0;0;0.1;6.2
0;8.3;0;1.7;0;0;0;0.3;0.3;0;0;0;6.1
0.8;9.4;1;2;0.2;0;0;0.4;0.2;0;0;0;6.22
1.1;6;0.4;0.5;0.2;0;0;0.4;0.5;0;0;0;6.16
0.3;4.3;0.3;0.7;0.3;0;0;0.7;0.3;0;0;0;6.13
0.8;4.2;1.2;0.8;0.6;0;0;0.2;0;0;0;0;6.21
1.3;4.5;0.5;0.6;0.3;0;0;0.3;0.2;0;0;0;6.17
0.7;6.7;0.7;0.7;0;0;0;0.7;0;0;0;0;6.07
1.2;9.2;0.4;0.2;0.6;0;0;1.2;0.2;0;0;0;6.23
1.1;4.8;0.6;0.5;0.2;0.1;0;0.6;0.1;0;0;0.1;6.1
0.3;5.3;0;1;0.3;0;0;1;0.3;0;0;0;6.31
0.8;6.4;0.8;0.4;0.4;0;0;0.4;0.4;0;0;0.2;6.14
0.9;4.8;0.5;0.3;0.2;0.1;0;0.6;0.6;0.1;0;0.1;6.13
0;3.3;0;0;0;0;0;0.3;0.3;0;0;0;6.23
1;8.4;0.8;0.2;0.4;0.2;0;0.8;0.2;0;0;0.2;6.22
